layer,op,head,pos,max_abs_diff,nrmse
0,k,0,0,0.032410,0.094710
0,k,0,1,0.041312,0.090534
0,k,0,2,0.032925,0.097434
0,k,0,3,0.031131,0.088115
0,k,0,4,0.030039,0.092618
0,k,0,5,0.035129,0.091329
0,k,0,6,0.044082,0.096982
0,k,0,7,0.035366,0.090685
0,k,0,8,0.033093,0.091238
0,k,0,9,0.035684,0.088440
0,k,0,10,0.035935,0.096824
0,k,0,11,0.034531,0.092607
0,k,0,12,0.044571,0.115976
0,k,0,13,0.029783,0.092829
0,k,0,14,0.030593,0.093481
0,k,0,15,0.033108,0.091113
0,k,0,16,0.035522,0.103563
0,k,0,17,0.040670,0.097346
0,k,0,18,0.033719,0.095783
0,k,0,19,0.042402,0.114099
0,k,0,20,0.036606,0.103969
0,k,0,21,0.037647,0.096754
0,k,1,0,0.034897,0.092351
0,k,1,1,0.037445,0.099650
0,k,1,2,0.036398,0.107932
0,k,1,3,0.037653,0.091716
0,k,1,4,0.034194,0.103965
0,k,1,5,0.030351,0.090351
0,k,1,6,0.045264,0.097309
0,k,1,7,0.039528,0.092126
0,k,1,8,0.032862,0.094607
0,k,1,9,0.028597,0.094204
0,k,1,10,0.037184,0.093527
0,k,1,11,0.038256,0.095406
0,k,1,12,0.043145,0.104676
0,k,1,13,0.044751,0.094400
0,k,1,14,0.033675,0.096642
0,k,1,15,0.027603,0.091284
0,k,1,16,0.039993,0.089114
0,k,1,17,0.036682,0.118139
0,k,1,18,0.030721,0.093114
0,k,1,19,0.035090,0.092995
0,k,1,20,0.048014,0.138983
0,k,1,21,0.035495,0.092767
0,k,2,0,0.030991,0.090382
0,k,2,1,0.036916,0.096700
0,k,2,2,0.042132,0.108654
0,k,2,3,0.038775,0.106295
0,k,2,4,0.043151,0.101664
0,k,2,5,0.032595,0.096641
0,k,2,6,0.031183,0.094809
0,k,2,7,0.044231,0.102439
0,k,2,8,0.034662,0.101662
0,k,2,9,0.035730,0.094985
0,k,2,10,0.034016,0.092127
0,k,2,11,0.031562,0.084897
0,k,2,12,0.032209,0.095529
0,k,2,13,0.029825,0.093115
0,k,2,14,0.034330,0.091869
0,k,2,15,0.035214,0.101579
0,k,2,16,0.034267,0.094153
0,k,2,17,0.040058,0.094435
0,k,2,18,0.039564,0.104991
0,k,2,19,0.042178,0.103003
0,k,2,20,0.029650,0.091213
0,k,2,21,0.029322,0.100069
0,k,3,0,0.039969,0.115703
0,k,3,1,0.031232,0.096731
0,k,3,2,0.031903,0.092920
0,k,3,3,0.035405,0.099097
0,k,3,4,0.033467,0.090444
0,k,3,5,0.031978,0.089465
0,k,3,6,0.031395,0.091991
0,k,3,7,0.044021,0.094733
0,k,3,8,0.038489,0.098206
0,k,3,9,0.034904,0.093535
0,k,3,10,0.035771,0.096146
0,k,3,11,0.037074,0.093534
0,k,3,12,0.032413,0.088646
0,k,3,13,0.032358,0.094099
0,k,3,14,0.030037,0.096522
0,k,3,15,0.035714,0.094783
0,k,3,16,0.034579,0.099407
0,k,3,17,0.030894,0.092371
0,k,3,18,0.036485,0.092615
0,k,3,19,0.043238,0.090463
0,k,3,20,0.035560,0.099328
0,k,3,21,0.041294,0.089424
0,k,4,0,0.039648,0.090090
0,k,4,1,0.032116,0.091911
0,k,4,2,0.036764,0.090779
0,k,4,3,0.039405,0.090906
0,k,4,4,0.033144,0.089833
0,k,4,5,0.038893,0.091140
0,k,4,6,0.035686,0.096631
0,k,4,7,0.038474,0.096345
0,k,4,8,0.034709,0.095984
0,k,4,9,0.032912,0.096533
0,k,4,10,0.035748,0.097354
0,k,4,11,0.048441,0.120763
0,k,4,12,0.040853,0.116272
0,k,4,13,0.045214,0.099728
0,k,4,14,0.039571,0.107032
0,k,4,15,0.032368,0.096444
0,k,4,16,0.041642,0.091702
0,k,4,17,0.034316,0.099872
0,k,4,18,0.041512,0.111019
0,k,4,19,0.040780,0.101224
0,k,4,20,0.037425,0.094012
0,k,4,21,0.047657,0.092710
0,k,5,0,0.040757,0.092234
0,k,5,1,0.032661,0.092671
0,k,5,2,0.035060,0.095840
0,k,5,3,0.031025,0.087013
0,k,5,4,0.031872,0.098383
0,k,5,5,0.043599,0.096890
0,k,5,6,0.037994,0.091970
0,k,5,7,0.031471,0.095425
0,k,5,8,0.036605,0.093114
0,k,5,9,0.038523,0.095450
0,k,5,10,0.035945,0.094549
0,k,5,11,0.035156,0.095636
0,k,5,12,0.031884,0.092993
0,k,5,13,0.036801,0.094199
0,k,5,14,0.034364,0.095077
0,k,5,15,0.031199,0.096165
0,k,5,16,0.029235,0.091510
0,k,5,17,0.036738,0.094606
0,k,5,18,0.037032,0.092577
0,k,5,19,0.033253,0.094791
0,k,5,20,0.041837,0.095715
0,k,5,21,0.032763,0.097248
0,k,6,0,0.031778,0.094328
0,k,6,1,0.032165,0.098097
0,k,6,2,0.029485,0.091680
0,k,6,3,0.035653,0.094786
0,k,6,4,0.030444,0.097457
0,k,6,5,0.037417,0.093069
0,k,6,6,0.035463,0.093187
0,k,6,7,0.033618,0.099103
0,k,6,8,0.033415,0.096468
0,k,6,9,0.037427,0.091515
0,k,6,10,0.042946,0.091448
0,k,6,11,0.031488,0.095064
0,k,6,12,0.040783,0.093287
